trained_on,model,all,cosmosqa,drop,mcscript,narrativeqa,quoref,socialiqa
all,LERC,-3.6198941947844254,-3.116869009987581,-3.9499937425943044,-3.4035313830506064,-3.561261746176017,-8.804091549768259,-3.5706850415520535
all,avg-MRB,-3.3947976463180565,-2.62770486185105,-2.7810158607613276,-3.998285259070503,-2.904755014576419,-7.229717323451707,-3.4362312625566735
all,avg-all,-2.2813514589315487,-1.507760787033094,-1.9130009925940779,-3.0910355059093932,-2.3860194963499572,-2.7587809660248372,-2.067137834823313
all,bert-score,-6.417679543233832,-1.448381651178162,-9.77023871201343,-5.5302535727266235,-8.204631467831152,-34.681340709041976,-4.159069597754771
all,bleu-precision0,-5.456326675068855,-2.5417600009274133,-6.878705738818951,-6.913377497117878,-5.354996816332678,-12.985453370926711,-5.077305642621763
all,bleu-precision1,-5.431571229949581,-4.925919975606843,-7.03049133328178,-5.146899115415161,-4.830289254727264,-11.39342858623477,-5.83661460907431
all,bleu-precision2,-6.031300488291918,-8.700411463594588,-9.73529939207881,-3.9083164340454006,-4.691789761288496,-12.325182049528488,-6.474061114487145
all,bleu-precision3,-5.533248684787483,-11.374649979444241,-1.5341266067554455,-3.177752184863973,-4.5328915105747205,-7.005633800061462,-5.113747251625078
all,bleu1,-5.570820536308507,-3.485382923073713,-5.592798732137775,-6.801130326559737,-5.216929021897337,-7.797943037011544,-6.1973239191510245
all,bleu2,-5.781472889413598,-5.745561847036607,-5.500591666457387,-5.309707492572205,-5.133870300318231,-7.591839396046041,-7.062728980294491
all,bleu3,-6.205028699746413,-9.095970799988297,-7.036765957153673,-3.83603081337243,-5.392761685413239,-8.472601819028162,-7.270699747045084
all,bleu4,-6.118219397418128,-12.883960182867801,-1.9923581705355526,-3.129569538481639,-5.420227310759998,-6.096030741851046,-5.7039409061611
all,bleurt,-4.62502354297922,-3.0082670259685305,-4.657676841956805,-4.986171901945003,-4.1059773315274475,-15.737014937804148,-4.231794676243638
all,csi,-5.330718987506531,-3.405554759256826,-5.960431441627686,-6.162295902242424,-5.040584035190747,-8.340337251431095,-5.9716149725526035
all,edit_score,-8.193448772744018,-3.1808934300574476,-68.61465463136493,-2.6051466134180656,-3.882336538728161,-77.97215457369175,-3.682550667795481
all,f1_score,-5.495313188942978,-2.963543987315563,-5.692021664954543,-6.982555688535496,-5.305702198636634,-8.503266736828074,-5.857663384333662
all,l1-018,0.4474440932832964,0.5670209905071585,0.22761260145556483,0.25621363011170284,0.41841563933147596,0.4429529027487804,0.5732036523518709
all,lr,0.5105666594985612,0.6537345426829502,0.2452417599413167,0.3510368573316849,0.49153081487756467,0.4161086263631666,0.6008270574411723
all,meteor,-5.110652319339714,-4.012622671731959,-5.428969930270711,-5.652253446912811,-4.49769884841482,-7.855559651735884,-5.815052566407392
all,num_edits,-9.23996411246939,-8.604910563692057,-60.11671327336094,-5.232023635807257,-6.6724061407048,-34.624262673933686,-7.434835703174084
all,precision,-5.456326675068855,-2.5417600009274133,-6.878705738818951,-6.913377497117878,-5.354996816332678,-12.985453370926711,-5.077305642621763
all,recall,-5.877504072102541,-1.8584428057227265,-8.453669697862436,-7.132340959523061,-5.836683989533114,-22.220325844025083,-4.734436410871615
all,rf,0.5348207380446856,0.6826414800981024,0.16559129110218174,0.44496442147157844,0.5055780330483618,0.47585102157288295,0.5630712736995713
all,rouge1,-5.091248204777442,-3.2118302087852904,-4.92665925630129,-5.950898071178725,-4.549696440226374,-9.299750311412758,-5.748560039762874
all,rouge2,-5.620955407900838,-5.672836681733914,-6.475040794273163,-5.378167153496901,-5.4004847850735525,-8.734224426715258,-5.810425779816458
all,rougeL,-5.056322329969882,-3.317853939765926,-5.093093302644602,-5.881170947533878,-4.49440461934796,-9.287808115525367,-5.637984548384991
all,rougeLsum,-5.056322329969882,-3.317853939765926,-5.093093302644602,-5.881170947533878,-4.49440461934796,-9.287808115525367,-5.637984548384991
cosmosqa,avg-MRB,-4.933791956801375,-2.767116686785806,-4.102680433249916,-6.425402480534236,-4.588645359582009,-11.327037386821106,-4.590556988724474
cosmosqa,avg-all,-3.501700002458442,-1.4072365777623266,-4.521795552635805,-5.044069304244048,-3.783909127804365,-4.492515674349987,-3.187257645028417
cosmosqa,l1-018,0.22355048890517937,0.725906868248093,-0.03405496562913357,-0.13785829595964216,0.06814056718626682,-0.8254969073897183,0.550345398490738
cosmosqa,lr,0.3246666702395601,0.7498468255124857,-0.4229117099212618,0.09888256760331138,0.22893878743964713,-0.6817426781938754,0.5538781287837308
cosmosqa,rf,0.38502504550360583,0.7801689877687483,0.05807507716620974,0.1227457700849316,0.27069976195746337,0.049856148898162034,0.530118469905049
drop,avg-MRB,-4.081653733127178,-3.497647146295863,-3.393912738853639,-4.519915461610043,-3.4448056584311093,-8.582585013596223,-4.228304810139138
