trained_on,model,all,cosmosqa,drop,mcscript,narrativeqa,quoref,socialiqa
all,LERC,0.6485072947908964,0.6185220613117665,0.6657850747749546,0.6445884947801642,0.6836297733211238,0.7333588647574646,0.6113279538448649
all,avg-MRB,0.6169098712227351,0.5450296046678437,0.5085549716802114,0.7316485092003969,0.5852342913070763,0.6155936144582453,0.5933447953352065
all,avg-all,0.46061235780945325,0.37676821086838663,0.3918050576478716,0.5988453787331706,0.5074875921539147,0.2811617300922794,0.41022889997382267
all,bert-score,1.041240143473201,0.3678470366899508,1.4486208587536133,0.9558978816816278,1.3795656715235274,2.6690109310562127,0.6900242375632427
all,bleu-precision0,0.9062923889170539,0.5321171723294145,1.059703297059169,1.15835942696535,0.9524700126337194,1.046130195251359,0.8128380734219756
all,bleu-precision1,0.9028173987833471,0.8903154872279927,1.0801187942525516,0.8997824935736234,0.8738282395101065,0.9270446601111832,0.9143954532408818
all,bleu-precision2,0.987003049479334,1.4573984451482251,1.4439214431694904,0.7184788813595944,0.8530703039708858,0.9967410372417158,0.9996537601023107
all,bleu-precision3,0.917090143655425,1.859178418047493,0.3408456172075117,0.6115389577490522,0.8292550569709409,0.5988318739655011,0.8177121292941882
all,bleu1,0.9223642081172674,0.6738879193439575,0.8867459688044141,1.1419286970761762,0.9317767789924116,0.6580976406708618,0.9626402310930683
all,bleu2,0.9519340601298399,1.0134592109229328,0.8743439151229037,0.9236143679581675,0.9193281588155341,0.6426808188884894,1.0783879364077575
all,bleu3,1.0113897578516615,1.5168276316304277,1.0809627450009707,0.7078977192488429,0.9581301107218614,0.708562999543409,1.1062039732034183
all,bleu4,0.9992040965698171,2.085938525283268,0.40247877309018715,0.6044859866664213,0.9622465855647421,0.5307923760923018,0.8966503794513712
all,bleurt,0.7896000746317471,0.6022056026498442,0.7609700123177435,0.8762552597267813,0.76527029580385,1.2519505975550487,0.6997511981876635
all,csi,0.8886604912519638,0.6618944650186028,0.9361933789842053,1.048416176291283,0.9053466616263975,0.6986694369784088,0.9324517172851603
all,edit_score,1.2905097697132675,0.6281411471218402,9.36332457157504,0.5277210099942761,0.731751608871466,5.907220401974167,0.6262899527083322
all,f1_score,0.9117650334365708,0.5954863735491247,0.9000916720881076,1.1684857238844841,0.9450818665029367,0.7108567754829201,0.9172107215416421
all,l1-018,0.0775637971731301,0.0650511514470185,0.10388780847743513,0.10887537635127831,0.08716631642204185,0.04166785109898851,0.057083902203770104
