trained_on,model,all,cosmosqa,drop,mcscript,narrativeqa,quoref,socialiqa
all,LERC,0.7849098079248298,0.8203163845558302,0.7392186538338311,0.7868140809353704,0.7869979119910302,0.7697708148464354,0.7820328103763908
all,avg-MRB,0.6392453564103537,0.7530611936192525,0.631716189848164,0.5125645128833433,0.6880179382504803,0.7382523860503891,0.7045500275368102
all,avg-all,0.5327228536592339,0.6617394582628002,0.5415093283738301,0.38798837583427565,0.5714239006808439,0.7895799800496467,0.6117953487647578
all,bert-score,0.415686621081427,0.759009215139098,0.1880914400547262,0.1603907914178178,0.48190432361595603,0.28149692856099945,0.5831975608021499
all,bleu-precision0,0.43092782956409215,0.613427355954908,0.4057486287535636,0.24319814253132352,0.4144350715498808,0.8203116206465523,0.5389632799355272
all,bleu-precision1,0.35496267910692597,0.59865679886397,0.477045410589693,0.13181626544031902,0.30853687790265766,0.4582702099380742,0.4437338450679116
all,bleu-precision2,0.2884030582552607,0.4876005332611442,0.4511622073833132,0.13295417196715792,0.23505215310457184,0.2583301552165882,0.3414474196937722
all,bleu-precision3,0.21543752103109648,0.419554236127337,0.10565840875950956,0.08452335006977643,0.19954199115579693,0.16231889136786062,0.1886284870769984
all,bleu1,0.4084512473885993,0.6121033825379195,0.3435412488458845,0.19361279607960138,0.4004140016789468,0.8129730468177572,0.544142435094578
all,bleu2,0.3561404125787282,0.6061466503579371,0.47294558014703714,0.12884054783614385,0.3082989590278549,0.4636082475853001,0.4489644348648725
all,bleu3,0.2889840730610062,0.4911976027584519,0.4494016800038138,0.1324326642685354,0.23524291710711215,0.25886800900004125,0.3423808653682647
all,bleu4,0.21570490084210384,0.42122641120527116,0.10565840875950956,0.0845430789826869,0.19965524831605438,0.16227588583256725,0.18886432217967644
all,bleurt,0.5912767045142292,0.809232323397411,0.3119647939097017,0.44762696487965753,0.5951794460056168,0.3116808368523576,0.7448266031359353
all,csi,0.44516132234948214,0.6135828044224764,0.43225227782144054,0.2443359847925154,0.4324123217950175,0.8419923335468004,0.5546059777465203
all,edit_score,-0.374333472634157,-0.6551722948407175,-0.17142249098984397,-0.13545392051237634,-0.31536025369866144,-0.2047420507116545,-0.5580538673539595
all,f1_score,0.4448838831102011,0.6136758047902714,0.43225227782144054,0.24385472096033795,0.43239726200522705,0.8419111223152775,0.55467978437982
all,l1-018,0.6465123868338585,0.7949292387896654,0.5327479866569638,0.5179486846551429,0.6838626523606252,0.5569816457514799,0.7517907245306606
all,lr,0.6973425987417655,0.807321284595101,0.641522890632683,0.5845149041447605,0.7231718841242138,0.7000800951135623,0.757415472434831
all,meteor,0.5361944902236606,0.6592122255500276,0.5861010851683122,0.39076453795773874,0.6168173513495536,0.7941817403056652,0.5563446534781308
all,num_edits,-0.3649771016840332,-0.6484987447827696,-0.1425772774194218,-0.2040408932483174,-0.26534508388146816,-0.10404619299109501,-0.5550980915280543
all,precision,0.43092782956409215,0.613427355954908,0.4057486287535636,0.24319814253132352,0.4144350715498808,0.8203116206465523,0.5389632799355272
all,recall,0.39979717058017533,0.5707606632079353,0.37080459758380546,0.22118933789976453,0.4020117202384153,0.616507337179138,0.5309364326432063
all,rf,0.7069605591934017,0.8098104072694772,0.6422582613277559,0.6271968713632051,0.7144117182698705,0.7171475607010934,0.7266496620344506
all,rouge1,0.5387557872353683,0.6722425763345515,0.6300375635059421,0.40148019186962824,0.5693225628631959,0.8364636176229466,0.5639730709651786
all,rouge2,0.3746313707580537,0.6374104419778583,0.5101515345545604,0.13108884889041095,0.3659970192091185,0.42023266584939295,0.45863627185524664
all,rougeL,0.5402057077528905,0.6759051144184018,0.610581351200927,0.403070443322042,0.5691227468310168,0.8352400647083178,0.5662065519521854
all,rougeLsum,0.5402057077528905,0.6759051144184018,0.610581351200927,0.403070443322042,0.5691227468310168,0.8352400647083178,0.5662065519521854
cosmosqa,avg-MRB,0.6395013402620732,0.7534890180688869,0.6309468496955948,0.5128355124872724,0.6878527564922284,0.7360203669409316,0.7051699634950374
cosmosqa,avg-all,0.5150427321838515,0.6636698132517574,0.5198873487235828,0.3718245573178328,0.5622647328244779,0.6104436477901924,0.6032405575113883
