,mse,r2,pearson,spearman,features,target,model_classpath,model_hparams,trained_on,evaluated_on
51,0.12255860517591674,0.0887985451957819,0.5168307950110873,0.5094899827109245,['hf_rouge2'],score_scaled,hf_rouge2,{'feature': 'hf_rouge2'},all,drop
52,0.248337544770832,-0.6965275999241212,0.15861492798395768,0.1311124233761119,['hf_rouge2'],score_scaled,hf_rouge2,{'feature': 'hf_rouge2'},all,mcscript
53,0.20977126244861133,-0.3996196072701612,0.3925698270059961,0.36603276198097645,['hf_rouge2'],score_scaled,hf_rouge2,{'feature': 'hf_rouge2'},all,narrativeqa
54,0.08886027377734142,-0.18795081251066237,0.45029532364990027,0.42026157898900507,['hf_rouge2'],score_scaled,hf_rouge2,{'feature': 'hf_rouge2'},all,quoref
55,0.15537502724541855,-0.16168467087895566,0.48527203134555674,0.4586061125114944,['hf_rouge2'],score_scaled,hf_rouge2,{'feature': 'hf_rouge2'},all,socialiqa
56,0.12206919190823934,0.13039258680854326,0.5768841378235041,0.5820147463446528,['meteor'],score_scaled,meteor,{'feature': 'meteor'},all,all
57,0.08414889231985107,0.43990685428153453,0.6968409667327633,0.6955987769151807,['meteor'],score_scaled,meteor,{'feature': 'meteor'},all,cosmosqa
58,0.08958469474473037,0.3339537108600298,0.6643275991241367,0.6394799077462172,['meteor'],score_scaled,meteor,{'feature': 'meteor'},all,drop
59,0.18185972800689387,-0.24238180804720177,0.4610524843217757,0.4393420770406513,['meteor'],score_scaled,meteor,{'feature': 'meteor'},all,mcscript
60,0.14650537447362202,0.022498161615577494,0.6058712552614796,0.6458198188525298,['meteor'],score_scaled,meteor,{'feature': 'meteor'},all,narrativeqa
61,0.04616629799372262,0.38281428943518847,0.7293670520441748,0.7936802725312182,['meteor'],score_scaled,meteor,{'feature': 'meteor'},all,quoref
62,0.09742593680759881,0.27158038623129765,0.6443946568052987,0.621312334856283,['meteor'],score_scaled,meteor,{'feature': 'meteor'},all,socialiqa
63,0.1348594991402421,0.03927585365029629,0.4543688985099463,0.4449556994228506,['recall'],score_scaled,recall,{'feature': 'recall'},all,all
64,0.09382514957612566,0.37550190234410474,0.6619211462400589,0.6307872485576957,['recall'],score_scaled,recall,{'feature': 'recall'},all,cosmosqa
65,0.16687913643884436,-0.24071673042691488,0.4411121668686605,0.43845703282890325,['recall'],score_scaled,recall,{'feature': 'recall'},all,drop
66,0.18289175424542573,-0.24943213545190734,0.29212649455753364,0.2474723655120015,['recall'],score_scaled,recall,{'feature': 'recall'},all,mcscript
67,0.12877411332805563,0.14080331205076557,0.5214447895432472,0.5109025496000529,['recall'],score_scaled,recall,{'feature': 'recall'},all,narrativeqa
68,0.18539293532873957,-1.4784718614458234,0.41806632102967056,0.5462042169081948,['recall'],score_scaled,recall,{'feature': 'recall'},all,quoref
69,0.10140571523214012,0.24182497655415636,0.5674722024575846,0.5374589599612825,['recall'],score_scaled,recall,{'feature': 'recall'},all,socialiqa
70,0.11915728916985628,0.15113665964302148,0.5111230805128999,0.469018201055416,['precision'],score_scaled,precision,{'feature': 'precision'},all,all
71,0.08016806162236098,0.4664031743929744,0.7193355000576593,0.6767878669294942,['precision'],score_scaled,precision,{'feature': 'precision'},all,cosmosqa
72,0.11559280872552158,0.14058800420895767,0.5094614950119275,0.45923589098705714,['precision'],score_scaled,precision,{'feature': 'precision'},all,drop
73,0.17574737148175468,-0.20062500661371607,0.3220094160694301,0.25603988580361176,['precision'],score_scaled,precision,{'feature': 'precision'},all,mcscript
74,0.12959247097603596,0.13534312939036264,0.5133034162962699,0.5177246245031459,['precision'],score_scaled,precision,{'feature': 'precision'},all,narrativeqa
75,0.063398376167957,0.15244293902023087,0.6305572830548903,0.7069509895378571,['precision'],score_scaled,precision,{'feature': 'precision'},all,quoref
76,0.10099018079439565,0.24493178203704513,0.5716264741865215,0.5447765036826772,['precision'],score_scaled,precision,{'feature': 'precision'},all,socialiqa
77,0.1118825142532826,0.2029613510156586,0.5256156229941061,0.48614210302379535,['f1_score'],score_scaled,f1_score,{'feature': 'f1_score'},all,all
78,0.07868371927472964,0.47628292386903315,0.7181301473265392,0.6744196886119767,['f1_score'],score_scaled,f1_score,{'feature': 'f1_score'},all,cosmosqa
79,0.09526449740154913,0.2917253872228158,0.5656609123161931,0.5092770525217395,['f1_score'],score_scaled,f1_score,{'feature': 'f1_score'},all,drop
80,0.17302409929467216,-0.18202086670505002,0.30679252851680094,0.26956113597044934,['f1_score'],score_scaled,f1_score,{'feature': 'f1_score'},all,mcscript
81,0.11981779224546997,0.20056098547976964,0.5478349456855826,0.5423896596584392,['f1_score'],score_scaled,f1_score,{'feature': 'f1_score'},all,narrativeqa
82,0.04104256560393276,0.4513121884039639,0.7098315619762222,0.7197633962997291,['f1_score'],score_scaled,f1_score,{'feature': 'f1_score'},all,quoref
83,0.09398359523344038,0.2973175687729478,0.5940451534067095,0.5619609040794404,['f1_score'],score_scaled,f1_score,{'feature': 'f1_score'},all,socialiqa
84,0.22706486754426206,-0.6175849860647653,0.2785376817901423,0.2664106472195328,['sari_context'],score_scaled,sari_context,{'feature': 'sari_context'},all,all
85,0.21711264927029872,-0.4450969389217354,0.6376540724129536,0.6184168461780367,['sari_context'],score_scaled,sari_context,{'feature': 'sari_context'},all,cosmosqa
86,0.3364848944223918,-1.5017054076067144,0.14524966299692885,0.09278883130498665,['sari_context'],score_scaled,sari_context,{'feature': 'sari_context'},all,drop
87,0.2093548251516155,-0.43021563402651797,0.23957822070574744,0.21386983680151908,['sari_context'],score_scaled,sari_context,{'feature': 'sari_context'},all,mcscript
88,0.20025109703742078,-0.3360998952828165,0.16466947941030427,0.16935543116769766,['sari_context'],score_scaled,sari_context,{'feature': 'sari_context'},all,narrativeqa
89,0.34160381164662973,-3.5668160624757226,0.026551515523515458,0.008534966119779816,['sari_context'],score_scaled,sari_context,{'feature': 'sari_context'},all,quoref
90,0.22506575536512827,-0.6827378413552103,0.46136448706690875,0.4525284536923127,['sari_context'],score_scaled,sari_context,{'feature': 'sari_context'},all,socialiqa
91,0.2587556420205435,-0.843346556069005,0.3139578965901152,0.31546799238179746,['sari_question'],score_scaled,sari_question,{'feature': 'sari_question'},all,all
92,0.24560764191784387,-0.6347589728380525,0.5840890089695886,0.5642999425121307,['sari_question'],score_scaled,sari_question,{'feature': 'sari_question'},all,cosmosqa
93,0.3529308479120144,-1.6239781498909203,0.10499046785673531,0.10330542111329354,['sari_question'],score_scaled,sari_question,{'feature': 'sari_question'},all,drop
94,0.24490018500972363,-0.673045142968326,0.18645482300161548,0.18255102078105434,['sari_question'],score_scaled,sari_question,{'feature': 'sari_question'},all,mcscript
95,0.24479462616878261,-0.6332997882592739,0.2214525641745449,0.22328314242734829,['sari_question'],score_scaled,sari_question,{'feature': 'sari_question'},all,narrativeqa
96,0.31790817234635727,-3.250034977260385,0.1622594160169895,0.10438854844700658,['sari_question'],score_scaled,sari_question,{'feature': 'sari_question'},all,quoref
97,0.2641367233688622,-0.9748577875975897,0.47010016956342676,0.4889224896808211,['sari_question'],score_scaled,sari_question,{'feature': 'sari_question'},all,socialiqa
98,0.2053988287824595,-0.4632385238065413,0.2790355530372227,0.2584455680939426,['precision_at_err1'],score_scaled,precision_at_err1,{'feature': 'precision_at_err1'},all,all
99,0.13866531768232543,0.07704674605179096,0.4637617774481335,0.4333665017724758,['precision_at_err1'],score_scaled,precision_at_err1,{'feature': 'precision_at_err1'},all,cosmosqa
100,0.17390160215908174,-0.29292751539308104,0.2865507156456376,0.18501731544532946,['precision_at_err1'],score_scaled,precision_at_err1,{'feature': 'precision_at_err1'},all,drop
101,0.24355986417541384,-0.6638886890368099,0.19836658884305503,0.15324388617374624,['precision_at_err1'],score_scaled,precision_at_err1,{'feature': 'precision_at_err1'},all,mcscript
102,0.2580866362920409,-0.7219857110658034,0.18598754765194106,0.13398790609236222,['precision_at_err1'],score_scaled,precision_at_err1,{'feature': 'precision_at_err1'},all,narrativeqa
103,0.16476965364071922,-1.2027643580083627,0.31079442432795623,0.4033461463990387,['precision_at_err1'],score_scaled,precision_at_err1,{'feature': 'precision_at_err1'},all,quoref
104,0.18415695465736706,-0.37687706354061046,0.361891344830687,0.38467927190827406,['precision_at_err1'],score_scaled,precision_at_err1,{'feature': 'precision_at_err1'},all,socialiqa
105,0.206075164388292,-0.468056663809298,0.27586139082622474,0.25631003787947465,['recall_at_err1'],score_scaled,recall_at_err1,{'feature': 'recall_at_err1'},all,all
